大学名,国,都市,緯度,経度,URL,気候,学生数,全体合格率,男性受験者数,女性受験者数,男性合格者数,女性合格者数,男性入学者数,女性入学者数,全体出願者数,全体合格者数,全体入学者数,留学生出願者数,留学生合格者数,留学生入学者数,SAT提出割合,ACT提出割合,SAT Composite,SAT EBRW,SAT Math,ACT Composite,ACT Math,ACT Science,ACT Reading,GPA,区間の下限,下限までの累計,区間のパーセンテージ,Priority Date,Deferred Admission,ED出願者数,ED合格者数,EA出願者数,EA合格者数,通貨定義,Tuition,文系平均,理系平均,現地語平均,Required Fees,Food and housing total,Housing Only,Food Only,Books and supplies,Need総数,Need-Met,Need全体平均額,Merit全体数,Merit平均額,Need available,non need available,both not available,Need留学生総数,Need留学生平均額,2-9,10-19,20-29,30-39,40-49,50-99,100+,Total,Agriculture,Natural resources and conservation,Architecture,"Area, ethnic, and gender studies",Communication/journalism,Communication technologies,Computer and information sciences,Personal and culinary services,Education,Engineering,Engineering technologies,"Foreign languages, literatures, and linguistics",Family and consumer sciences,Law/legal studies,English,Liberal arts/general studies,Library science,Biological/life sciences,Mathematics and statistics,Military science and military technologies,Interdisciplinary studies,Parks and recreation,Philosophy and religious studies,Theology and religious vocations,Physical sciences,Science technologies,Psychology,"Homeland Security, law enforcement, firefighting, and protective services",Public administration and social services,Social sciences,Construction trades,Mechanic and repair technologies,Precision production,Transportation and materials moving,Visual and performing arts,Health professions and related programs,Business/marketing,History,TOEFL 総合,TOEFL Reading,TOEFL Listening,TOEFL Writing,TOEFL Speaking,IELTS 総合,IELTS Reading,IELTS Listening,IELTS Writing,IELTS Speaking,Duolingo 総合,Duolingo Literacy,Duolingo Comprehension,Duolingo Conversation,Duolingo Production,スコア提出はあるがスコア条件はなし,全額免除奨学金,授業料免除奨学金,Need-based Scholarship,Need-Met 100%,柳井正財団,笹川平和財団,グルーバンクロフト基金,東進海外進学支援制度,江副リクルート記念財団,YouAreWelcomeHere Scholarship,Stamps Scholar Program,Laidlaw Scholars,日本の全財団奨学生の進学した大学,奨学金が反映される出願締め切り月,大学入試最終出願締め切り月,学部生のみ,大学院生もいるがかなり少ない,大学院生の割合が多い,PhD課程あり,研究型大学,大学群・ラベリングのある大学,日本人学生が10人以下の大学,日本からの直行便がある,空港から公共交通で90分圏内,公共交通2時間圏内に大都市あり,学生福祉（バス無料など）,ウーバーや配車サービスあり,24時間図書館あり
"Dún Laoghaire Institute of Art, Design and Technology",アイルランド,Dún Laoghaire,,,https://www.unirank.org/ie/uni/dun-laoghaire-institute-of-art-design-and-technology/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dundalk Institute of Technology,アイルランド,Dundalk,53.9828314,-6.3904702,https://www.unirank.org/ie/uni/dundalk-institute-of-technology/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Institute of Public Administration,アイルランド,Dublin,26.2362647,50.5327011,https://www.unirank.org/ie/uni/institute-of-public-administration/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Marino Institute of Education,アイルランド,Dublin,53.37368,-6.2353498,https://www.unirank.org/ie/uni/marino-institute-of-education/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Maynooth University,アイルランド,Maynooth,53.3821766,-6.5987338,https://www.unirank.org/ie/uni/maynooth-university/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Munster Technological University,アイルランド,Bishopstown,52.6760876,-8.6474655,https://www.unirank.org/ie/uni/munster-technological-university/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
National College of Art and Design,アイルランド,Dublin,53.3434793,-6.2785917,https://www.unirank.org/ie/uni/national-college-of-art-and-design/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
National College of Ireland,アイルランド,Dublin,53.3486219,-6.2434208,https://www.unirank.org/ie/uni/national-college-of-ireland/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"National University of Ireland, System",アイルランド,Dublin,,,https://www.unirank.org/ie/uni/national-university-of-ireland-system/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Royal College of Surgeons in Ireland,アイルランド,Dublin,53.3391564,-6.2626992,https://www.unirank.org/ie/uni/royal-college-of-surgeons-in-ireland/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Royal Irish Academy of Music,アイルランド,Dublin,53.3423267,-6.249694,https://www.unirank.org/ie/uni/royal-irish-academy-of-music/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
South East Technological University,アイルランド,Waterford,52.2514273,-7.1794803,https://www.unirank.org/ie/uni/south-east-technological-university/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
St Patrick's Pontifical University,アイルランド,Maynooth,53.3792776,-6.5965802,https://www.unirank.org/ie/uni/st-patrick-s-pontifical-university/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Technological University Dublin,アイルランド,Dublin,53.3579326,-6.287314,https://www.unirank.org/ie/uni/technological-university-dublin/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
